ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,IPA,Dutch
Mentawai-33_oldpersonf-1,94,Mentawai,33_oldpersonf,bâdja,b a j a,b   a   d ͡ ʒ   a,,oudemans1879,,,b â dj a,,,oud mensch
Nias-33_oldpersonf-1,95,Nias,33_oldpersonf,niha satoewa,n i x a # s a t u w a,n   i   ç   a   #   s   a   t   u   w   a,,oudemans1879,,,n i h a # s a t oe w a,,,oud mensch
Enggano-34_youngperson-1,96,Enggano,34_youngperson,fananamie,f a n a n a m i,f   a   n   a   n   a   m   i,,oudemans1879,,,f a n a n a m ie,,,jong mensch
Mentawai-34_youngperson-1,97,Mentawai,34_youngperson,soelè,s u l E,s   u   l   ɛ,,oudemans1879,,,s oe l è,,,jong mensch
Nias-34_youngperson-1,98,Nias,34_youngperson,niha sakaboejoe,n i x a # s a k a b u y u,n   i   ç   a   #   s   a   k   a   b   u   j   u,,oudemans1879,,,n i h a # s a k a b oe j oe,,,jong mensch
Enggano-35_father-1,99,Enggano,35_father,amama,a m a m a,a   m   a   m   a,,oudemans1879,,,a m a m a,,,vader
Mentawai-35_father-1,100,Mentawai,35_father,oekoei,u k O e:i,u   k   ɔ   ɛ i,,oudemans1879,,,oe k o ei,,,vader
Nias-35_father-1,101,Nias,35_father,ama,a m a,a   m   a,,oudemans1879,,,a m a,,,vader
Enggano-36_mother-1,102,Enggano,36_mother,naina,n a:i n a,n   a i   n   a,,oudemans1879,,,n ai n a,,,moeder
Mentawai-36_mother-1,103,Mentawai,36_mother,manda ina,m a n d a # i n a,m   a   n   d   a   #   i   n   a,,oudemans1879,,,m a n d a # i n a,,,moeder
Nias-36_mother-1,104,Nias,36_mother,ina,i n a,i   n   a,,oudemans1879,,,i n a,,,moeder
Enggano-37_son-1,105,Enggano,37_son,éjara émane,e y a r a # e m a n e,e   j   a   r   a   #   e   m   a   n   e,,oudemans1879,,,é j a r a # é m a n e,,,zoon
Mentawai-37_son-1,106,Mentawai,37_son,tôga semanteoe,t o g a # s e m a n t e u,t   o   g   a   #   s   e   m   a   n   t   e   u,,oudemans1879,,,t ô g a # s e m a n t e oe,,,zoon
Nias-37_son-1,107,Nias,37_son,iraeumeu simatoewa,i r a e:u m e:u # s i m a t u w a,i   r   a   ɛ u   m   ɛ u   #   s   i   m   a   t   u   w   a,,oudemans1879,,,i r a eu m eu # s i m a t oe w a,,,zoon
Enggano-38_daughter-1,108,Enggano,38_daughter,éjara éhoda,e y a r a # e h O d a,e   j   a   r   a   #   e   h   ɔ   d   a,,oudemans1879,,,é j a r a # é h o d a,,,dochter
Mentawai-38_daughter-1,109,Mentawai,38_daughter,sinanalep,s i n a n a l e p,s   i   n   a   n   a   l   e   p,,oudemans1879,,,s i n a n a l e p,,,dochter
Nias-38_daughter-1,110,Nias,38_daughter,iraeumeu sihalāwè,i r a e:u m e:u # s i x a l a a w E,i   r   a   ɛ u   m   ɛ u   #   s   i   ç   a   l   a ː   w   ɛ,,oudemans1879,,,i r a eu m eu # s i h a l ā w è,,,dochter
Enggano-39_uncle-1,111,Enggano,39_uncle,kahoe,k a h u,k   a   h   u,,oudemans1879,,,k a h oe,,,oom
Mentawai-39_uncle-1,112,Mentawai,39_uncle,pamâman,p a m a m a n,p   a   m   a   m   a   n,,oudemans1879,,,p a m â m a n,,,oom
Nias-39_uncle-1,113,Nias,39_uncle,anasiaki,a n a s i a k i,a   n   a   s   i   a   k   i,,oudemans1879,,,a n a s i a k i,,,oom
Enggano-40_cousinfemale-1,114,Enggano,40_cousinfemale,à-à,a ' a,a   ʔ   a,,oudemans1879,,,à - à,,,neef (cousin)
Mentawai-40_cousinfemale-1,115,Mentawai,40_cousinfemale,boea,b u a,b   u   a,,oudemans1879,,,b oe a,,,neef (cousin)
Nias-40_cousinfemale-1,116,Nias,40_cousinfemale,talifoeso,t a l i f u s O,t   a   l   i   f   u   s   ɔ,,oudemans1879,,,t a l i f oe s o,,,neef (cousin)
Nias-41_cousinmale-1,117,Nias,41_cousinmale,onowinîo,O n O w i n i O,ɔ   n   ɔ   w   i   n   i   ɔ,,oudemans1879,,,o n o w i n î o,,,neef (neven)
Enggano-42_grandfather-1,118,Enggano,42_grandfather,oefoenai,u f u n a:i,u   f   u   n   a i,,oudemans1879,,,oe f oe n ai,,,grootvader
Enggano-43_grandmother-1,119,Enggano,43_grandmother,oefoenai,u f u n a:i,u   f   u   n   a i,,oudemans1879,,,oe f oe n ai,,,grootmoeder
Enggano-44_grandson-1,120,Enggano,44_grandson,koöfijoe,k o ' o f i y u,k   o   ʔ   o   f   i   j   u,,oudemans1879,,,k oö f i j oe,,,kleinzoon
Enggano-45_granddaughter-1,121,Enggano,45_granddaughter,koöfijoe,k o ' o f i y u,k   o   ʔ   o   f   i   j   u,,oudemans1879,,,k oö f i j oe,,,kleindochter
Enggano-46_loincloth-1,122,Enggano,46_loincloth,eafie,e a f i,e   a   f   i,,oudemans1879,,,e a f ie,,,band om het middel en tusschen de beenen door
Enggano-47_dog-1,123,Enggano,47_dog,eafiē,e a f i e e,e   a   f   i   e ː,,oudemans1879,,,e a f i ē,,,hond
Mentawai-47_dog-1,124,Mentawai,47_dog,djôhdjôh,j o h j o h,d ͡ ʒ   o   h   d ͡ ʒ   o   h,,oudemans1879,,,dj ô h dj ô h,,,hond
Nias-47_dog-1,125,Nias,47_dog,asoe,a s u,a   s   u,,oudemans1879,,,a s oe,,,hond
Enggano-48_pig-1,126,Enggano,48_pig,kojo,k O y O,k   ɔ   j   ɔ,,oudemans1879,,,k o j o,,,varken
Mentawai-48_pig-1,127,Mentawai,48_pig,sikôko,s i k o k O,s   i   k   o   k   ɔ,,oudemans1879,,,s i k ô k o,,,varken
Nias-48_pig-1,128,Nias,48_pig,babi,b a b i,b   a   b   i,,oudemans1879,,,b a b i,,,varken
Mentawai-49_deer-1,129,Mentawai,49_deer,semasoera,s e m a s u r a,s   e   m   a   s   u   r   a,,oudemans1879,,,s e m a s oe r a,,,hert
Nias-49_deer-1,130,Nias,49_deer,beuheu,b e:u h e:u,b   ɛ u   h   ɛ u,,oudemans1879,,,b eu h eu,,,hert
Enggano-50_cat-1,131,Enggano,50_cat,ebéo,e b e O,e   b   e   ɔ,,oudemans1879,,,e b é o,,,kat
Mentawai-50_cat-1,132,Mentawai,50_cat,maoe,m a ' u,m   a   ʔ   u,,oudemans1879,,,m aoe,,,kat
Nias-50_cat-1,133,Nias,50_cat,maoe,m a ' u,m   a   ʔ   u,,oudemans1879,,,m aoe,,,kat
Enggano-51_rooster-1,134,Enggano,51_rooster,eokeiko émané,e O k e:i k O # e m a n e,e   ɔ   k   ɛ i   k   ɔ   #   e   m   a   n   e,,oudemans1879,,,e o k ei k o # é m a n é,,,haan
Mentawai-51_rooster-1,135,Mentawai,51_rooster,gôgô eilaloek,g o g o # e:i l a l u k,g   o   g   o   #   ɛ i   l   a   l   u   k,,oudemans1879,,,g ô g ô # ei l a l oe k,,,haan
Nias-51_rooster-1,136,Nias,51_rooster,manoe tjilatao,m a n u # c i l a t a O,m   a   n   u   #   t ͡ ʃ   i   l   a   t   a   ɔ,,oudemans1879,,,m a n oe # tj i l a t a o,,,haan
Enggano-52_hen-1,137,Enggano,52_hen,eokeiko ehoeda,e O k e:i k O # e h u d a,e   ɔ   k   ɛ i   k   ɔ   #   e   h   u   d   a,,oudemans1879,,,e o k ei k o # e h oe d a,,,kip
Mentawai-52_hen-1,138,Mentawai,52_hen,gôgô semanosa,g o g o # s e m a n O s a,g   o   g   o   #   s   e   m   a   n   ɔ   s   a,,oudemans1879,,,g ô g ô # s e m a n o s a,,,kip
Nias-52_hen-1,139,Nias,52_hen,manoe sipagèlo,m a n u # s i p a g E l O,m   a   n   u   #   s   i   p   a   g   ɛ   l   ɔ,,oudemans1879,,,m a n oe # s i p a g è l o,,,kip
Enggano-53_bird-1,140,Enggano,53_bird,eke-èfe,e k e ' E f e,e   k   e   ʔ   ɛ   f   e,,oudemans1879,,,e k e - è f e,,,vogel
Mentawai-53_bird-1,141,Mentawai,53_bird,oĕwă,u w a,u   w   a,,oudemans1879,,,oĕ w ă,,,vogel
Nias-53_bird-1,142,Nias,53_bird,pòpò,p O p O,p   ɔ   p   ɔ,,oudemans1879,,,p ò p ò,,,vogel
Mentawai-54_horse-1,143,Mentawai,54_horse,koerô,k u r o,k   u   r   o,,oudemans1879,,,k oe r ô,,,paard
Nias-54_horse-1,144,Nias,54_horse,goerô,g u r o,g   u   r   o,,oudemans1879,,,g oe r ô,,,paard
Mentawai-55_cow-1,145,Mentawai,55_cow,djawi,j a w i,d ͡ ʒ   a   w   i,,oudemans1879,,,dj a w i,,,koe
Nias-55_cow-1,146,Nias,55_cow,djawi,j a w i,d ͡ ʒ   a   w   i,,oudemans1879,,,dj a w i,,,koe
Enggano-56_fish-1,147,Enggano,56_fish,e ajo,e # a y O,e   #   a   j   ɔ,,oudemans1879,,,e # a j o,,,visch
Mentawai-56_fish-1,148,Mentawai,56_fish,kâ,k a,k   a,,oudemans1879,,,k â,,,visch
Nias-56_fish-1,149,Nias,56_fish,gîa,g i a,g   i   a,,oudemans1879,,,g î a,,,visch
Enggano-57_coconut-1,150,Enggano,57_coconut,effô,e f f o,e   f   f   o,,oudemans1879,,,e f f ô,,,klappernoot
Mentawai-57_coconut-1,151,Mentawai,57_coconut,toitet,t o:i t e t,t   ɔ i   t   e   t,,oudemans1879,,,t oi t e t,,,klappernoot
Nias-57_coconut-1,152,Nias,57_coconut,banîo,b a n i O,b   a   n   i   ɔ,,oudemans1879,,,b a n î o,,,klappernoot
Enggano-58_banana-1,153,Enggano,58_banana,iedjo,i j O,i   d ͡ ʒ   ɔ,,oudemans1879,,,ie dj o,,,pisang
Mentawai-58_banana-1,154,Mentawai,58_banana,bagô,b a g o,b   a   g   o,,oudemans1879,,,b a g ô,,,pisang
Nias-58_banana-1,155,Nias,58_banana,gâhé,g a h e,g   a   h   e,,oudemans1879,,,g â h é,,,pisang
Mentawai-59_sago-1,156,Mentawai,59_sago,sagai,s a g a:i,s   a   g   a i,,oudemans1879,,,s a g ai,,,sago
Nias-59_sago-1,157,Nias,59_sago,sagoe,s a g u,s   a   g   u,,oudemans1879,,,s a g oe,,,sago
Enggano-60_water-1,158,Enggano,60_water,ebbo,e b b O,e   b   b   ɔ,,oudemans1879,,,e b b o,,,water
Mentawai-60_water-1,159,Mentawai,60_water,jôja,y o y a,j   o   j   a,,oudemans1879,,,j ô j a,,,water
Nias-60_water-1,160,Nias,60_water,idaneu,i d a n e:u,i   d   a   n   ɛ u,,oudemans1879,,,i d a n eu,,,water
Enggano-61_house-1,161,Enggano,61_house,oeba,u b a,u   b   a,,oudemans1879,,,oe b a,,,huis
Mentawai-61_house-1,162,Mentawai,61_house,oêmâ,O e m a,ɔ   e   m   a,,oudemans1879,,,o ê m â,,,huis
Nias-61_house-1,163,Nias,61_house,nômô,n o m o,n   o   m   o,,oudemans1879,,,n ô m ô,,,huis
Enggano-62_tree-1,164,Enggano,62_tree,kahara koewo,k a h a r a # k u w O,k   a   h   a   r   a   #   k   u   w   ɔ,,oudemans1879,,,k a h a r a # k oe w o,,,boom
Mentawai-62_tree-1,165,Mentawai,62_tree,bâkat,b a k a t,b   a   k   a   t,,oudemans1879,,,b â k a t,,,boom
Nias-62_tree-1,166,Nias,62_tree,embôrô,e mb o r o,e   ʙ   o   r   o,,oudemans1879,,,e mb ô r ô,,,boom
Enggano-63_wood-1,167,Enggano,63_wood,ekoewo,e k u w O,e   k   u   w   ɔ,,oudemans1879,,,e k oe w o,,,hout
Nias-63_wood-1,168,Nias,63_wood,geoe,g e u,g   e   u,,oudemans1879,,,g e oe,,,hout
Enggano-64_river-1,169,Enggano,64_river,iebo,i b O,i   b   ɔ,,oudemans1879,,,ie b o,,,rivier
Mentawai-64_river-1,170,Mentawai,64_river,toeboe djodja,t u b u # j O j a,t   u   b   u   #   d ͡ ʒ   ɔ   d ͡ ʒ   a,,oudemans1879,,,t oe b oe # dj o dj a,,,rivier
Nias-64_river-1,171,Nias,64_river,loeâha,l u a h a,l   u   a   h   a,,oudemans1879,,,l oe â h a,,,rivier
Enggano-65_sea-1,172,Enggano,65_sea,éoewé,e u w e,e   u   w   e,,oudemans1879,,,é oe w é,,,zee
Mentawai-65_sea-1,173,Mentawai,65_sea,hôat,h o a t,h   o   a   t,,oudemans1879,,,h ô a t,,,zee
Nias-65_sea-1,174,Nias,65_sea,nâsi,n a s i,n   a   s   i,,oudemans1879,,,n â s i,,,zee
Enggano-66_ship-1,175,Enggano,66_ship,eoeba-kiemo,e u b a ' k i m O,e   u   b   a   ʔ   k   i   m   ɔ,,oudemans1879,,,e oe b a - k ie m o,,,schip
Mentawai-66_ship-1,176,Mentawai,66_ship,kinâpat,k i n a p a t,k   i   n   a   p   a   t,,oudemans1879,,,k i n â p a t,,,schip
